Field=Value~String~Value~45|Field=Quantity~Integer~Quantity~107|Field=Designator~String~Designator~73|Field=Comment~String~Comment~57|Field=Description~String~Description~350|Field=Footprint~String~Footprint~62|Field=LibRef~String~LibRef~56|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CareBoard_SMD.PrjPcb|ReportField=ProjectFullPath~\\psf\Google Drive\CaRe PCB Project 2014\CareBoard_SMD\CareBoard_SMD.PrjPcb|ReportField=Title~Bill of Materials For Project [CareBoard_SMD.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~84|ReportField=ReportTime~12:21:47 AM|ReportField=ReportDate~6/13/2014|ReportField=ReportDateTime~6/13/2014 12:21:47 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~6/13/2014|ReportField=CurrentTime~12:20:25 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~\\psf\Google Drive\CaRe PCB Project 2014\CareBoard_SMD\CaRe_Schematic_GARMENT_CONNECTOR.SchDoc|ReportField=DocumentName~CaRe_Schematic_GARMENT_CONNECTOR.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/12/2014|ReportField=Organization~|ReportField=ProjectName~CareBoard_SMD.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.25|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=DataSourceFileName~CareBoard_SMD.PrjPcb|ReportField=DataSourceFullPath~\\psf\Google Drive\CaRe PCB Project 2014\CareBoard_SMD\CareBoard_SMD.PrjPcb
10K|2|R2, R23|Resistor|Resistor|RES0805|Chip Res
22pF|2|C15, C19|Capacitor|Capacitor|CAP0805|Chip Cap
2M|2|R18, R19|Resistor|Resistor|RES0805|Chip Res
4.7uF|2|C14, C17|Capacitor|Capacitor|CAP0805|Chip Cap
|3|D1, D2, D3|BAT42W|Schottky Diode|SOD-523|BAT42W
|3|D4, D5, D6|10mmTT|Typical RED LED|10mmLED|10mmLED
10uF|3|C6, C7, C11|Capacitor|Capacitor|CAP0805|Chip Cap
560|3|R7, R9, R12|Resistor|Resistor|RES0805|Chip Res
10nF|4|C1, C2, C5, C10|Capacitor|Capacitor|CAP0805|Chip Cap
1K|4|R15, R24, R25, R26|Resistor|Resistor|RES0805|Chip Res
220K|4|R10, R11, R20, R21|Resistor|Resistor|RES0805|Chip Res
10uF|5|C9, C13, C16, C22, C23|10uF|Polarized Capacitor (Radial)|0805TANTCAP|Cap Tant
100nF|7|C4, C8, C12, C18, C20, C21, C25|Capacitor|Capacitor|CAP0805|Chip Cap
